Name,Publishers,Developers,Description,Price,Release Date,Tags
Magic: The Gathering Arena,Wizards of the Coast LLC,Wizards of the Coast LLC,"Magic: The Gathering Arena empowers you to discover your strategy, meet the planeswalkers, explore the multiverse, and battle friends around the world. Start playing for free, challenge your friends, unlock cards, and feel the magic of the original fantasy CCG!",$0.00,"May 23, 2023","Strategy,Card Game,Trading Card Game,$0.00,Deckbuilding,PvP,Multiplayer,Turn-Based Strategy,eSports,Fantasy,Magic,Tactical,Gambling"
Ready or Not,VOID Interactive,VOID Interactive,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",$49.99,"Dec 13, 2023","Tactical,Realistic,FPS,Shooter,Multiplayer,Singleplayer,Co-op,Horror,First-Person,Action,Violent,Gun Customization,Combat,Crime,Gore,Modern,Psychological Horror,Atmospheric,America,Co-op Campaign"
PGA TOUR 2K25,2K,HB Studios,"Take your best shot at glory in PGA TOUR 2K25! In a 2K-first, compete in three prestigious major tournaments. Personalize your game with expanded MyCAREER, MyPLAYER and Course Designer options. Challenge friends across ranked, casual, and cross-platform multiplayer.",$69.99,"Feb 27, 2025","Sports,Golf,Simulation,Realistic,Character Customization,Third Person,Multiplayer,Family Friendly,Singleplayer,Co-op,Online Co-Op,RPG,PvP,Gore"
Crusader Kings III,Paradox Interactive,Paradox Development Studio,"Love, fight, scheme, and claim greatness. Determine your noble house’s legacy in the sprawling grand strategy of Crusader Kings III. Death is only the beginning as you guide your dynasty’s bloodline in the rich and larger-than-life simulation of the Middle Ages.",$49.99,"Sep 1, 2020","Strategy,Medieval,Grand Strategy,Simulation,RPG,Historical,Management,Character Customization,Life Sim,Sandbox,RTS,Choices Matter,War,Singleplayer,Economy,Political,4X,Moddable,Multiplayer,Real-Time with Pause"
Balatro,Playstack,LocalThunk,"The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos.",$14.99,"Feb 20, 2024","Card Game,Roguelike Deckbuilder,Roguelike,Deckbuilding,Singleplayer,Strategy,Pixel Graphics,Replay Value,Turn-Based,Roguelite,Card Battler,Casual,Choices Matter,Difficult,2D,Turn-Based Strategy,Relaxing,Arcade,Indie,Procedural Generation"
Delta Force,TiMi Studio Group,Team Jade,"Delta Force is back! The iconic series returns as the definitive free-to-play modern team-based tactical shooter and featuring three distinct gameplay modes: large-scale PvP warfare, intense extraction shooter action, and a remake of the legendary Black Hawk Down campaign.",$0.00,"Dec 4, 2024","$0.00,FPS,Multiplayer,Singleplayer,Extraction Shooter,Shooter,Military,Massively Multiplayer,Action,Tactical,Online Co-Op,PvP,Controller,Survival,War,Co-op,Looter Shooter,Open World,3D,Action-Adventure"
Avowed,Xbox Game Studios,Obsidian Entertainment,"Avowed is a first-person fantasy RPG set in the world of Eora, where your choices carve a path through war, intrigue, and ancient mysteries. Navigate a land in turmoil, forge powerful alliances or deadly rivalries, and wield magic and steel to shape the fate of the Living Lands—and your own destiny.",$69.99,"Feb 18, 2025","RPG,Fantasy,Singleplayer,First-Person,Story Rich,Magic,LGBTQ+,Adventure,Character Customization,Choices Matter,Combat,Action RPG,Third Person,Open World,Colorful,3D,Violent,Action,Atmospheric,Mature"
"Warhammer 40,000: Darktide",Fatshark,Fatshark,"Take back the city of Tertium from hordes of bloodthirsty foes in this intense and brutal action shooter. Warhammer 40,000: Darktide is the new co-op focused experience from the award-winning team behind the Vermintide series. As Tertium falls, Rejects Will Rise.",$39.99,"Nov 30, 2022","Action-Adventure,Horror,Combat,Warhammer 40K,Co-op,Class-Based,Games Workshop,Realistic,Hack and Slash,PvE,FPS,Shooter,Atmospheric,Character Customization,War,Zombies,First-Person,Dark,Action,Survival Horror"
Project Zomboid,The Indie Stone,The Indie Stone,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",$19.99,"Nov 8, 2013","Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Sandbox,Post-apocalyptic,Co-op,Crafting,Building,Indie,Simulation,RPG,Survival Horror,Realistic,Isometric,Singleplayer,2D,Adventure,Early Access"
Age of Empires IV: Anniversary Edition,Xbox Game Studios,Relic Entertainment;Forgotten Empires;Climax Studios;World's Edge,"Celebrating its first year of delighting millions of global players, the award-winning and best-selling strategy franchise continues with Age of Empires IV: Anniversary Edition, putting you at the center of even more epic historical battles that shaped the world.",$39.99,"Oct 28, 2021","Strategy,RTS,Base Building,Multiplayer,War,Medieval,Resource Management,Singleplayer,City Builder,Historical,Action RTS,PvP,PvE,Co-op,3D,Management,Isometric,Open World,Online Co-Op,Mature"
Manor Lords,Hooded Horse,Slavic Magic,"Manor Lords is a medieval strategy game featuring in-depth city building, large-scale tactical battles, and complex economic and social simulations. Rule your lands as a medieval lord – the seasons pass, the weather changes, and cities rise and fall.",$39.99,"Apr 26, 2024","Strategy,City Builder,Simulation,Base Building,Management,Building,Sandbox,Historical,Resource Management,4X,RTS,Open World,Economy,Singleplayer,Grand Strategy,Colony Sim,Replay Value,Moddable,Early Access,Real-Time with Pause"
Hell Let Loose,Team17,Team17,"Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.",$59.99,"Jul 27, 2021","Shooter,Realistic,World War II,FPS,Multiplayer,Singleplayer,War,Action,Military,Tactical,Simulation,First-Person,Massively Multiplayer,Gore,Historical,PvP,Strategy,Mature,Violent,Indie"
Hello Kitty Island Adventure,Sunblink,Sunblink,"Embark on a cozy, open-world adventure with Hello Kitty and Friends. Befriend beloved characters as you explore and restore a mysterious island, solve ancient puzzles, cook delicious dishes, customize yourself and your cabins, and so much more.",$39.99,"Jan 30, 2025","Cozy,Open World,Simulation,Adventure,Life Sim,Exploration,Casual,Colorful,Cute,Immersive Sim,Cooking,Crafting,Family Friendly,Relaxing,Story Rich,Action,Puzzle,3D,Isometric,Atmospheric"
Raft,Axolot Games,Redbeet Interactive,"Raft™ throws you and your friends into an epic oceanic adventure! Alone or together, players battle to survive a perilous voyage across a vast sea! Gather debris, scavenge reefs and build your own floating home, but be wary of the man-eating sharks!",$19.99,"Jun 20, 2022","Survival,Multiplayer,Open World Survival Craft,Co-op,Crafting,Open World,Building,Base Building,Online Co-Op,Adventure,Sandbox,First-Person,Singleplayer,Underwater,Simulation,Early Access,Action,Indie,Strategy,Massively Multiplayer"
Bloons TD 6,Ninja Kiwi,Ninja Kiwi,The Bloons are back and better than ever! Get ready for a massive 3D tower defense game designed to give you hours and hours of the best strategy gaming available.,$13.99,"Dec 17, 2018","Tower Defense,Strategy,Multiplayer,Singleplayer,Online Co-Op,Co-op,Family Friendly,Casual,3D,Cartoony,Sandbox,2D,Great Soundtrack,Difficult,Touch-Friendly,Funny,Cute,Addictive,Survival,Action"
IdleOn - The Idle RPG,Lavaflame2,Lavaflame2,"Create different classes who all work together when you're gone! When you return, spend their loot on powerful upgrades and synergies - but don't be fooled by the simple graphics, IdleOn gets more complex with each World Boss you defeat!",$0.00,"Apr 2, 2021","Idler,Pixel Graphics,MMORPG,Management,$0.00,RPG,Multiplayer,Clicker,Crafting,Resource Management,Sandbox,Massively Multiplayer,Indie,Casual,Simulation,Character Customization,Early Access,Old School,PvE,Cute"
Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,$4.99,"Nov 16, 2018","Mature,Utilities,Anime,Software,Design & Illustration,Animation & Modeling,First-Person,NSFW,Indie,Memes,Cute,Action,Singleplayer,Funny,Early Access,Photo Editing,Sandbox,Horror,Gaming,Game Development"
Barony,Turning Wheel LLC,Turning Wheel LLC,"Barony is the premier first-person roguelike with cooperative play! Adventure alone, or gather a party with iconic and unusual RPG classes to face off against the brutal dungeons. Test your resourcefulness, wits, and friendships, on your quest to lift the evil lich's curse!",$19.99,"Jun 23, 2015","Dungeon Crawler,Action Roguelike,Online Co-Op,Fantasy,First-Person,Co-op Campaign,Co-op,Local Co-Op,Roguelike,Immersive Sim,Split Screen,RPG,Difficult,Pixel Graphics,4 Player Local,Action RPG,Voxel,Singleplayer,Moddable,Indie"
S.T.A.L.K.E.R. 2: Heart of Chornobyl,GSC Game World (worldwide);SEGA (Japan);4divinity (China and South East Asia),GSC Game World,"Discover the vast Chornobyl Exclusion Zone full of dangerous enemies, deadly anomalies and powerful artifacts. Unveil your own epic story as you make your way to the Heart of Chornobyl. Make your choices wisely, as they will determine your fate in the end.",$59.99,"Nov 20, 2024","Open World,FPS,Post-apocalyptic,Survival,Atmospheric,Singleplayer,Shooter,Exploration,RPG,Story Rich,Action,First-Person,Lore-Rich,Sci-fi,Nonlinear,Multiple Endings,Choices Matter,Immersive Sim,Realistic,Cinematic"
GIRLS' FRONTLINE 2: EXILIUM,Darkwinter Software Limited,"SUNBORN Information Co., Ltd.","Hello Commanders, Please board the Elmo and set off into the breaking dawn.",$0.00,"Feb 11, 2025","Strategy,RPG,$0.00,Anime,Turn-Based Strategy,Strategy RPG,Turn-Based Combat,3D,Story Rich,Sci-fi,Sexual Content,Military,Visual Novel,Female Protagonist,Cute,Turn-Based Tactics,Great Soundtrack,Hentai,Dating Sim,Gun Customization"
Victoria 3,Paradox Interactive,Paradox Development Studio,"Paradox Development Studio invites you to build your ideal society in the tumult of the exciting and transformative 19th century. Balance the competing interests in your society and earn your place in the sun in Victoria 3, one of the most anticipated games in Paradox’s history.",$64.99,"Oct 25, 2022","Grand Strategy,Economy,Historical,Political Sim,Strategy,Capitalism,Politics,Diplomacy,Management,Simulation,Alternate History,Moddable,Political,Resource Management,Real-Time with Pause,Sandbox,Replay Value,Multiplayer,Singleplayer,Military"
New World: Aeternum,Amazon Games,Amazon Games,Experience a thrilling action RPG set on the supernatural island of Aeternum. Forge your destiny on an adventure filled with danger and opportunity.,$79.99,"Sep 28, 2021","Open World,Massively Multiplayer,MMORPG,RPG,Adventure,Action,PvP,PvE,Multiplayer,Fantasy,Character Customization,Walking Simulator,Crafting,Third Person,Co-op,Open World Survival Craft,Sandbox,Violent,Sexual Content,Singleplayer"
Hades II,Supergiant Games,Supergiant Games,Battle beyond the Underworld using dark sorcery to take on the Titan of Time in this bewitching sequel to the award-winning rogue-like dungeon crawler.,$29.99,"May 6, 2024","Action,Roguelike,Roguelite,Hack and Slash,RPG,Action Roguelike,Dungeon Crawler,Mythology,Action RPG,Isometric,Hand-drawn,Story Rich,Female Protagonist,Singleplayer,Atmospheric,Souls-like,Indie,Early Access,Perma Death,Difficult"
BLEACH Rebirth of Souls,Bandai Namco Entertainment Inc.,TAMSOFT CORPORATION,Awaken the blade within you and reverse your fate in BLEACH Rebirth of Souls! Engage in thrilling battles with powerful sword abilities and characters from this legendary anime franchise.,$59.99,"Mar 20, 2025","Action,Anime,3D Fighter,3D,PvP,Swordplay,Comic Book,Combat,Multiplayer,Singleplayer,Dark Fantasy,Story Rich,PvE,Drama,Fighting,Great Soundtrack,Hentai,Souls-like,Female Protagonist,Sexual Content"
WorldBox - God Simulator,Maxim Karpenko,Maxim Karpenko,"WorldBox is the ULTIMATE god simulator and sandbox game. A petri dish for your fantasy civilizations. Create your own world or destroy it using many powers. Watch civilizations grow, form kingdoms, colonize new lands, sail to far continents, wars to ignite, empires to fall and towns to burn!",$19.99,"Dec 2, 2021","Sandbox,God Game,Simulation,Pixel Graphics,Colony Sim,Life Sim,Destruction,Building,Artificial Intelligence,Political Sim,Fantasy,Medieval,Indie,Relaxing,Management,Procedural Generation,Politics,Idler,Mythology,Early Access"
Game of Thrones: Kingsroad,Netmarble,Netmarble Neo,"A story-driven action-adventure RPG, bringing the world of Westeros to life with remarkable detail and never-before seen scale",$24.99,"Mar 26, 2025","Early Access,Online Co-Op,Multiplayer,Choose Your Own Adventure,Exploration,Action RPG,PvE,RPG,Action-Adventure,Character Customization,3D,Lore-Rich,Open World,Action,Story Rich,Dark Fantasy,Realistic,Medieval,Fantasy,Drama"
PowerWash Simulator,Square Enix,FuturLab,"Release the Pressure with PowerWash Simulator! Wash away your worries with the soothing sounds of high-pressure water. Fire up your power washer and blast away every speck of dirt and grime you can find, all with the simple satisfaction of power-washing to a sparkling finish.",$24.99,"Jul 14, 2022","Casual,Relaxing,Simulation,Multiplayer,First-Person,3D,Sandbox,Funny,Co-op,Immersive Sim,Online Co-Op,Family Friendly,Colorful,Story Rich,Realistic,Wholesome,Singleplayer,Indie,Cozy,Atmospheric"
Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!",$19.99,"Dec 19, 2014","Racing,Automobile Sim,Simulation,Driving,Multiplayer,VR,Realistic,Sports,Moddable,Open World,Controller,Singleplayer,Physics,First-Person,Replay Value,Indie,Action,3D Vision,TrackIR,Artificial Intelligence"
Fast Food Simulator,No Ceiling Games,No Ceiling Games,"Welcome to the world's most chaotic place! Play solo or co-op with up to 6 players. Run a fast-food restaurant, and work with your friends to expand your business. Take orders, make burgers, and increase your earnings by dealing with customers.",$14.99,"Dec 10, 2024","Simulation,Online Co-Op,Management,Cooking,Multiplayer,Co-op,Indie,First-Person,3D,Immersive Sim,Singleplayer,Early Access,Realistic,Character Customization,Job Simulator,Artificial Intelligence,Psychological Horror,VR"
KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,Square Enix,Square Enix,KINGDOM HEARTS -HD 1.5+2.5 ReMIX- is an HD remastered collection of 6 unforgettable KINGDOM HEARTS experiences. Take up your Keyblade to save the Disney worlds from darkness.,$49.99,"Jun 13, 2024","Action,RPG,Adventure,JRPG,Great Soundtrack,Action-Adventure,Emotional,Story Rich,Fantasy,Singleplayer,3D,Magic,Colorful,Action RPG,Atmospheric,Cute,Anime,Character Action Game,Classic,Hack and Slash"
ELDEN RING NIGHTREIGN,"FromSoftware, Inc.;Bandai Namco Entertainment","FromSoftware, Inc.","ELDEN RING NIGHTREIGN is a standalone adventure within the ELDEN RING universe, crafted to offer players a new gaming experience by reimagining the game’s core design.",$39.99,"May 29, 2025","Online Co-Op,Souls-like,Singleplayer,Multiplayer,Roguelike,Action,Co-op,Third Person,PvE,RPG,Action RPG,Roguelite,Sexual Content,Open World,Dark,3D,Survival,Violent,Lore-Rich,Story Rich"
Hollow Knight,Team Cherry,Team Cherry,"Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.",$14.99,"Feb 24, 2017","Metroidvania,Souls-like,Platformer,Great Soundtrack,2D,Difficult,Indie,Singleplayer,Atmospheric,Exploration,Adventure,Story Rich,Hand-drawn,Multiple Endings,Action,Dark Fantasy,Open World,Cute,Controller,Side Scroller"
EA SPORTS™ Madden NFL 25,Electronic Arts,Tiburon,Hit like you mean it with FieldSENSE™ powered by BOOM Tech. Experience how the new physics-informed dynamic tackling system unlocks realistic collisions & new gameplay animations on both sides of the ball.,$69.99,"Aug 15, 2024","Simulation,Strategy,Football (American),Sports,Competitive,Multiplayer"
The Isle,Afterthought LLC,Afterthought LLC,Experience fierce open world survival gameplay as you attempt to stay alive on an unforgiving island inhabited by dinosaurs! Hunt. Grow. Survive.,$19.99,"Dec 1, 2015","Dinosaurs,Survival,Open World,Multiplayer,Simulation,Hunting,Realistic,Massively Multiplayer,Adventure,Early Access,Action,Third Person,Horror,Co-op,Sandbox,Walking Simulator,Team-Based,Strategy,RPG,Indie"
Squad,Offworld,Offworld,"Squad is a tactical FPS that provides authentic combat experiences through teamwork, communication, and realistic combat. It bridges the gap between arcade shooter and military realism with 100-player battles, combined-arms warfare, and base building.",$49.99,"Sep 23, 2020","Military,Realistic,FPS,Multiplayer,Tactical,Shooter,Team-Based,War,First-Person,Action,Massively Multiplayer,Strategy,Modern,Simulation,Wargame,Base Building,Open World,Immersive Sim,Atmospheric,PvP"
DRAGON BALL: Sparking! ZERO,Bandai Namco Entertainment,"Spike Chunsoft Co., Ltd.",DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. Make yours the destructive power of the strongest fighters ever to appear in Dragon Ball!,$69.99,"Oct 10, 2024","Anime,Action,Multiplayer,3D Fighter,Local Multiplayer,Fighting,PvP,Combat,Martial Arts,Singleplayer,Competitive,3D,Physics,Third Person,2.5D,Co-op,PvE,Action-Adventure,Open World,Spectacle fighter"
World of Tanks,Wargaming Group Limited,Wargaming Group Limited,"Jump into the free-to-play team-based shooter with an ever-expanding roster of historical vehicles, stunning graphics, spectacular locales, and orchestral scores. Show your mastery and face other players in thrilling PvP clashes. A unique mix of strategy and action awaits!",$0.00,"Apr 29, 2021","Tanks,$0.00,Action,Military,PvP,Vehicular Combat,Multiplayer,Team-Based,Tactical,Massively Multiplayer,War,Historical,World War II,Simulation,Co-op,Realistic,Shooter,Third Person,Third-Person Shooter,PvE"
Total War: WARHAMMER II,SEGA;Feral Interactive (Mac);Feral Interactive (Linux),CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),"Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command.",$59.99,"Sep 28, 2017","Strategy,Fantasy,Turn-Based Strategy,RTS,Grand Strategy,War,Multiplayer,Games Workshop,Action,Turn-Based,Singleplayer,Dark Fantasy,Co-op,Tactical,Real Time Tactics,Story Rich,Atmospheric,Dwarf,Dinosaurs,Great Soundtrack"
Age of Empires II: Definitive Edition,Xbox Game Studios,Forgotten Empires;Tantalus Media;Wicked Witch;World's Edge;CaptureAge,"42 Civilizations, 229 Campaign Missions, Singleplayer, Co-Op, Multiplayer, In-Game Editor, Mods, Cross-play...It is good to be the king.",$34.99,"Nov 14, 2019","Strategy,RTS,City Builder,Multiplayer,Base Building,Historical,Singleplayer,Medieval,Resource Management,Classic,Tactical,Real-Time,Co-op,Remake,Isometric,2D,Replay Value,Action,Great Soundtrack,Adventure"
The Lord of the Rings: Return to Moria™,North Beach Games,Free Range Games,"The only survival crafting game set in the Fourth Age of Middle-earth™. Embark on an epic journey to reclaim the Dwarven homeland of Moria, and explore, craft, and build in procedurally generated worlds. Play as a solo adventurer, or join friends in co-op gameplay for up to 8 players.",$24.99,"Aug 27, 2024","Open World Survival Craft,Dwarf,Base Building,Survival,Exploration,Crafting,Online Co-Op,Building,Adventure,Action-Adventure,Open World,Multiplayer,PvE,Sandbox,RPG,Action,Character Customization,Third Person,Singleplayer,3D"
DYNASTY WARRIORS: ORIGINS,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",Become immersed in exhilarating battles as a nameless hero in the Three Kingdoms,$69.99,"Jan 16, 2025","Hack and Slash,Spectacle fighter,Wargame,Martial Arts,RPG,Action RPG,Strategy,Historical,Dating Sim,Third Person,Musou,3D,Swordplay,Controller,Action,Multiple Endings,Story Rich,Singleplayer,Tactical,War"
The Planet Crafter,Miju Games,Miju Games,"A space survival open world terraforming crafting game, designed for 1 to 10 players. Alter the ecosystem of an inhospitable planet to render it habitable for humanity. Survive, gather resources, and build your base. Then, generate oxygen, warmth, and pressure to create a brand new biosphere.",$23.99,"Apr 10, 2024","Open World Survival Craft,Base Building,Online Co-Op,Survival,Co-op,Building,Crafting,Open World,Exploration,Space,Automation,Sandbox,First-Person,Sci-fi,Resource Management,Singleplayer,Adventure,Story Rich,Immersive Sim,Aliens"
Left 4 Dead 2,Valve,Valve,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",$9.99,"Nov 17, 2009","Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
Motor Town: Behind The Wheel,P3 Games,P3 Games,Enjoy realistic driving in the open world. Relaxing cargo deliveries or driving buses and taxis will give you enough money to buy new cars and parts. You can test your driving skills at the race track. It's all about pure driving pleasure!,$19.99,"Dec 17, 2021","Early Access,Open World,Driving,Automobile Sim,Transportation,Simulation,Relaxing,Realistic,Immersive Sim,Economy,Exploration,Multiplayer,Racing,Management,Atmospheric,Time Attack,Controller,3D,Singleplayer,Casual"
Tiny Tina's Wonderlands,2K,Gearbox Software,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Roll your own multiclass hero then shoot, loot, slash, and cast on a quest to stop the Dragon Lord.",$59.99,"Jun 23, 2022","Loot,Adventure,Looter Shooter,Multiplayer,Shooter,RPG,FPS,Fantasy,Online Co-Op,Action,Comedy,Co-op,Singleplayer,Character Customization,Narration,Stylized,PvE,Class-Based,Local Co-Op,3D"
Planet Coaster 2,Frontier Developments,Frontier Developments,"Build and customise thrilling roller coasters and incredible water slides, manage the ultimate theme park experience, and share your epic creations. Are you ready to ride the wave?",$49.99,"Nov 6, 2024","Simulation,Strategy,Sandbox,Building,City Builder,3D,God Game,Singleplayer,Economy,Realistic,Online Co-Op,Colorful,Atmospheric,Management,Family Friendly,Funny,Relaxing,Multiplayer,Asynchronous Multiplayer"
MX Bikes,PiBoSo,PiBoSo,"MX Bikes is a realistic motocross simulator, based on a scratch built physics engine that accurately simulates motorcycle dynamics and setup options.",$34.99,"Oct 7, 2019","Motocross,Motorbike,Multiplayer,Simulation,Offroad,Realistic,VR,Racing,Moddable,Controller,eSports,Automobile Sim,Early Access,Bikes,Physics,Difficult,Immersive Sim,3D,First-Person,Third Person"
Gorilla Tag,Another Axiom Inc.,Another Axiom Inc.,"Run, jump, and climb using only your hands. Play tag or infection with people online. Run away from the infected players, or outmaneuver the survivors to catch them. Embrace your inner ape.",$19.99,"Jan 1, 2023","VR,Psychological Horror,Multiplayer,First-Person,Funny,Parkour,Horror,3D,3D Platformer,PvP,Action,Survival Horror,Nature,Physics,Platformer,Casual,Moddable,6DOF,Early Access,Minimalist"
Heroes of Hammerwatch II,Crackshell,Crackshell,"A rogue-lite action-rpg that offers extensive persistent progression. Build your town, upgrade and equip your heroes, before taking on the the ever-changing Dark Citadel - either solo or with a team of friends.",$17.99,"Jan 14, 2025","RPG,Action RPG,Action Roguelike,Action,Roguelike,Dungeon Crawler,Adventure,Roguelite,Procedural Generation,Hack and Slash,Pixel Graphics,2D,Top-Down,Fantasy,Character Customization,Medieval,Combat,Multiplayer,Class-Based,Retro"
